"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
02145,631,655,129,106,820,231,946,112,228
02146,547,637,99,96,728,261,919,88,177
02147,1009,1171,219,193,1310,458,1696,177,307
02148,736,863,155,116,963,365,1265,128,206
02149,859,970,225,142,1130,332,1379,158,292
02150,741,792,157,135,929,312,1104,162,267
02151,722,792,155,125,946,288,1133,157,224
02152,576,691,116,83,677,391,1039,84,144
02153,618,707,144,106,690,385,1113,61,151
02154,521,567,104,81,702,201,726,110,252
02155,853,996,192,149,1027,481,1476,121,252
02156,613,664,109,106,671,391,1037,71,169
02157,585,680,144,93,721,307,955,107,203
02158,782,887,193,129,902,445,1335,114,220
02159,949,1006,208,190,1170,387,1464,171,320
02160,967,1028,208,159,1178,450,1617,139,239
02161,553,608,111,110,704,236,872,119,170
02162,683,752,134,134,826,341,1091,103,241
02163,870,972,161,149,1124,408,1395,166,281
02164,708,808,156,135,963,262,1055,205,256
02165,815,889,185,131,1031,357,1273,143,288
02166,1023,1125,254,150,1343,401,1563,197,388
02167,1023,1125,224,195,1204,525,1718,157,273
02168,1072,1177,243,147,1412,447,1678,232,339
02169,772,793,163,113,994,295,1201,149,215
02170,726,812,144,138,909,347,1215,114,209
02171,791,874,166,148,963,388,1194,132,339
02172,741,798,161,123,972,283,1158,147,234
02173,714,806,146,121,941,312,1197,115,208
03001,799,927,186,136,1009,395,1319,133,274
03002,933,997,206,141,1221,362,1339,191,400
03003,823,901,207,150,1091,276,1111,179,434
03004,791,866,169,119,1044,325,1170,146,341
03005,618,640,129,98,729,302,897,98,263
03006,749,706,180,136,934,205,949,168,338
03007,853,901,216,157,1072,309,1191,167,396
03008,574,633,141,93,753,220,831,116,260
03009,586,643,119,96,761,253,883,102,244
03010,1012,945,203,224,1280,250,1203,200,554
03011,922,925,230,180,1210,227,1095,184,568
03012,1068,1152,223,196,1460,341,1385,265,570
03013,942,901,196,183,1241,223,1122,268,453
03014,928,890,203,149,1218,248,1123,239,456
03015,1461,1508,313,282,1926,448,1848,359,762
03016,585,625,132,134,779,165,742,121,347
03017,852,821,216,157,1084,216,983,207,483
03018,887,863,211,167,1050,322,1211,124,415
03019,717,831,189,120,996,243,982,147,419
03020,621,584,110,90,691,314,969,76,160
03021,526,594,101,85,593,341,921,58,141
03022,741,759,188,132,896,284,1100,142,258
03023,942,1008,233,173,1274,270,1316,225,409
03024,1050,1066,290,181,1376,269,1437,279,400
03025,624,577,151,111,717,222,1070,12,119
03026,475,515,111,64,433,382,881,18,91
03027,843,930,228,224,934,387,1594,47,132
03028,1278,1404,553,259,1539,331,2113,92,477
03029,633,688,146,138,770,267,1157,37,127
03030,746,860,158,172,912,364,1336,48,222
03031,1188,1301,314,249,1383,543,2211,49,229
03032,810,860,257,142,969,302,1371,64,235
03033,725,717,199,149,797,297,1035,41,366
03034,748,798,174,187,917,268,1311,28,207
03035,1089,1209,249,224,1285,540,1983,61,254
03036,1126,1238,308,244,1360,452,2028,92,244
03037,516,566,109,146,672,155,970,22,90
03038,466,535,163,120,508,210,915,13,73
03039,1242,1311,398,265,1448,442,1948,79,526
03040,717,809,132,113,865,416,1336,68,122
03041,661,751,153,141,798,320,1100,88,224
03042,669,717,142,126,857,261,1047,109,230
03043,764,907,154,135,923,459,1315,113,243
03044,944,997,195,187,1197,362,1394,149,398
03045,519,540,135,67,644,213,824,110,125
03046,653,767,110,125,815,370,1184,94,142
03047,866,946,181,163,1158,310,1397,131,284
03048,647,694,124,99,800,318,1064,75,202
03049,784,874,215,105,955,383,1246,118,294
03050,791,871,144,145,1069,304,1239,158,265
03051,987,971,262,170,1275,251,1334,180,444
